Label,Text
A plane is taking off., plane is taking off.
A man is playing a large flute.,A man is playing a larg flute.
A man is spreading shreded cheese on a pizza.,A man is spreading shredd hcheese on a pizza.
Three men are playing chess.,Three men re playing chess.
A man is playing the cello.,. man is playin the celloA
Some men are fighting.,Some men are xigmting.
A man is smoking.,A man is smoikngx.
The man is playing the piano.,Thx man is playing thre piano.
A man is playing on a guitar and singing.,A man is zplaying on ax guitar and singing.
A person is throwing a cat on to the ceiling.,A person is throwing a cat on to the ceilig.
The man hit the other man with a stick.,hTe man hit the othet man with a stick.
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a bbay kangaroo.
A man is playing a flute.,Am an eis playing a flute.
A person is folding a piece of paper.,A person is folding a pisece of paper.
A man is running on the road.,A man is zunninwg on the road.
A dog is trying to get bacon off his back.,A dog is trying to get baconoff his back.
The polar bear is sliding on the snow.,The polar ebar is sliding on the snow.
A woman is writing.,A wmoan is writing.
A cat is rubbing against baby's face.,A cat isrubbing agains tbaby's face.
The man is riding a horse.,The man is rriding a horse.
A man pours oil into a pot.,A man pour oilinto a pot.
A man is playing a guitar.,A man isplaying a guitar.
A panda is sliding down a slide.,A panda is sliding dfown azslide.
A woman is eating something.,A womna is eatnig something.
A woman peels a potato.,A womau peebs a potato.
The boy fell off his bike.,The boy fell offq his bike.
The woman is playing the flute.,Teh woman is playing the flute.
A rabbit is running from an eagle.,A rabbit is running from an eagxe.
The woman is frying a breaded pork chop.,The woman is frying a brieaded pork hop.
A girl is flying a kite.,A girl is flying a ite.
A man is riding a mechanical bull.,A man is rpiding a mechanical bull.
The man is playing the guitar.,The man is playding the guitdr.
A woman is dancing and singing with other women.,A woman is dancing and singng with other women.
A man is slicing a bun.,l man is slicing a bun.
A man is pouring oil into a pan.,A mrn is pouring uoil into a pan.
A lion is playing with people.,A lion is playinng with people.
A dog rides a skateboard.,. dog rides a skateobardA
Someone is carving a statue.,Someone is warbving a statue.
A woman is slicing an onion.,A woman is sliciung an onion.
A woman peels shrimp.,A woamn pesls shrimp.
A woman is frying fish.,A woman isfrying fish.
A woman is playing an electric guitar.,A woman is plaxying an eletcric guitar.
A baby tiger is playing with a ball.,A babyt iger is playin with a ball.
A person is slicing a tomato.,A prson ixs slicing a tomato.
A person cuts an onion.,A pern cuts an onion.
A man is playing the piano.,. man is playing the pianoA
A woman is playing the flute.,A woma nis playing the fltue.
A man is cutting up a potato.,A man is cuttig usp a potato.
A kid is playing guitar.,. kid is playingy guitarA
A boy is playing guitar.,A boy is pqayng guitar.
A man is playing guitar.,A man i playing guitar.
A little boy is playing a keyboard.,A ilttle boy is playitng a keyboard.
A man is playing a guitar.,A man is lpaying a guitr.
A dog licks a baby.,A dkg licks a baby.
A woman is slicing an onion.,Awoman is slicingfan onion.
A man is playing the guitar.,A man is playing the guitakr.
A woman is slicing a pepper.,A woman is slycing aa pepper.
A man is playing the drums.,A man js playing the dums.
A woman rides a horse.,. woma nrides a horseA
A man is eating a banana by a tree.,A man exs eating a banana by a tree.
A cat is playing a key board.,A cat is palying a eky board.
A man chops down a tree with an axe.,A man hops down a tree with an axe.
A kid plays with a toy phone.,A ki dplays wtih a toy phone.
A man is riding a motorcycle.,gA ma is riding a motorcycle.
A man is riding a motorcycle.,A man is iding a motorcycle.
A squirrel is spinning around in circles.,A swuqirrel is spinning around in circles.
A man and a woman are kissing.,A man and a woman are kisin.
A man is getting into a car.,A man is getting into  acar.
A man is dancing.,A man isw qdancing.
A man is playing the guitar and singing.,A man is playing the guitarv andsinging.
A person is cutting mushrooms.,A perso is cuttingmushrooms.
A tiger cub is making a sound.,A tiger cub is makigng a sounf.
A person is slicing onions.,A pearson is slicing onions.
A man is playing the piano.,A man is playing the pilon.
A woman is peeling a potato.,A woman isp eeling a potato.
A pankda is eating bamboo.,A pankdai s eatinglbamboo.
A person is peeling an onion.,A person is peeling an oion
A monkey pushes another monkey.,A monkey pusher anther monkey.
A squirrel runs around in circles.,A squirrel runs around jinc ircles.
A man is tying his shoe.,A mani s tying his shoe
A boy is singing and playing the piano.,A boy is singing and playing the paino.
A dog is eating water melon.,A dog is ceating water zelon.
A woman is chopping broccoli.,A woman is choppifng broccoli.
A man is peeling a potato.,sA man is peeling a potat.
A woman is playing a guitar.,Ax mwoman is playing a guitar.
A woman is slicing tomato.,A wsoman is slicing tomato.
A man swims underwater.,A mah swims underwrter.
A man and woman are talking.,bA manand woman are talking.
A small dog is chasing a yoga ball.,As mal ldog is chasing a yoga ball.
The men are playing cricket.,The men oare paying cricket.
A man rides off on a motorcycle.,A man rides off on a motacycle.
A man is playing a guitar.,A man is plajying a guitar.
The man talked on the telephone.,Theman talked on the temlephone.
